Track Name,Blinding Lights,Dance Monkey,The Box,Roses - Imanbek Remix,Don't Start Now,ROCKSTAR (feat. Roddy Ricch),Watermelon Sugar,death bed (coffee for your head),Falling,Someone You Loved,Tusa,ROXANNE,Circles,Blueberry Faygo,Intentions (feat. Quavo),Toosie Slide,Before You Go,Say So,Memories,Life Is Good (feat. Drake),Savage Love (Laxed - Siren Beat),Adore You,Breaking Me,Mood (feat. iann dior),everything i wanted,Señorita,bad guy,WAP (feat. Megan Thee Stallion),Sunday Best,Godzilla (feat. Juice WRLD),Yummy,Break My Heart,Dynamite,Supalonely (feat. Gus Dapperton),ily (i love you baby) (feat. Emilee),Rain On Me (with Ariana Grande),HIGHEST IN THE ROOM,Sunflower - Spider-Man: Into the Spider-Verse,Hawái,Ride It,goosebumps,RITMO (Bad Boys For Life),THE SCOTTS,Safaera,lovely (with Khalid),Lucid Dreams,Stuck with U (with Justin Bieber),If the World Was Ending - feat. Julia Michaels,Physical,SICKO MODE
Blinding Lights,-0.0,-5.058470479051792,-6.278712341527723,-4.568581543658316,-4.407318655701217,-4.96944724223895,-3.7314876045582914,-5.816600105028488,-4.590065058006838,-4.383729101182649,-4.620242259226871,-3.819847599580824,-3.04428847773511,-4.0832799531929025,-4.527057386283747,-5.803463634235335,-3.636348575989809,-5.083258676357827,-6.371926566085071,-4.874535526501283,-3.925034348466148,-3.9766946860168417,-4.285514425699671,-4.992488077960686,-9.800626290544846,-4.3156617923136595,-5.265665934590264,-5.01560487631889,-4.703200289677786,-4.982078608330312,-3.490521348616651,-3.6940353236125065,-3.8258300826521903,-4.62577374559973,-4.3340653908030236,-3.9709657084292527,-5.038681012548904,-5.465292841629682,-4.190043944708136,-5.010171269451693,-3.954863380619721,-5.916961888529182,-3.091323232456077,-5.37108870714976,-5.679905523694572,-4.718591034705579,-3.5746546533570687,-5.776006964055211,-2.707638549201279,-5.014812677914082
Dance Monkey,-5.058470479051792,-0.0,-4.487210318029397,-3.6155196985697415,-3.634358807685984,-2.6913521715621536,-4.1939123500735045,-4.1928509220886605,-3.7656925189059938,-3.4552138867636915,-3.063471577382512,-3.769410042782439,-3.3778278923806018,-3.125072752570644,-3.103683716334687,-3.22482865532596,-3.664042332780848,-2.879879720188449,-2.56880182268687,-4.683391594096425,-3.772152219112948,-3.353436549090855,-2.880965912460029,-3.5240492638976613,-8.534687346199766,-3.100408344825286,-4.26726363109382,-4.385928245364406,-2.787382321202194,-4.552864879691108,-2.8098143769746,-2.9825674090246665,-3.2544316470081487,-2.6279981062472997,-3.799991204769183,-3.975213911791236,-4.3164089122330545,-3.006551352493879,-4.853680010459203,-3.4240752063390816,-3.310054287244968,-4.709519774990837,-3.4376086449263057,-5.219586177870296,-5.202850471896433,-3.6542237722778657,-4.474938026119046,-3.875384739754011,-4.54012573677698,-5.009826433360662
The Box,-6.278712341527723,-4.487210318029397,-0.0,-3.523673830879171,-4.43942027134126,-4.561950863021972,-5.182713836498061,-3.7403807914686067,-4.874104717800547,-6.352889349203463,-5.581635132012586,-3.506166740959576,-5.485575619794921,-5.1436631841235805,-4.431678601899438,-5.467024392508592,-6.43368197757007,-4.597189501892996,-5.448179381244386,-5.956349758583527,-4.622958529707492,-4.785928128890318,-4.394684481174516,-4.34899529612428,-10.005629535028408,-4.265430627510376,-5.844998853075145,-5.772980058756477,-4.516755533433518,-4.5778913360863305,-4.598343153261542,-3.8796862026318157,-4.618889210937692,-4.279688265826326,-3.5672348561193603,-3.9405860707752707,-5.4572233042740725,-5.58230372344962,-6.078789535902191,-4.58497453958068,-4.519851362316307,-1.7962808519279934,-5.2070150244196425,-6.817689306545587,-7.721855232566956,-5.223168248136615,-4.445567682557942,-6.907406584969307,-5.760429222077458,-5.901011764129659
Roses - Imanbek Remix,-4.568581543658316,-3.6155196985697415,-3.523673830879171,-0.0,-1.8368304391017873,-3.1452094831745008,-3.596884783628996,-5.159771757769443,-4.136405938200606,-5.174176098298794,-3.799909682381307,-2.958613382754959,-3.4207505376830167,-3.9804311646457724,-2.4933169865853975,-4.3742364335046915,-5.347078389398679,-2.7675979290079984,-4.815345512889875,-5.063469599247055,-3.375941080469746,-2.5582263362815842,-2.1818526504168148,-2.214914625170994,-10.059964532316503,-1.8797543101155059,-5.0072588008636485,-4.973986233401236,-2.537464214355527,-3.3422621993990713,-3.3164187294222596,-2.9423422299485553,-1.7765928540902056,-2.2315386213371444,-3.1683819281901027,-1.9078362498523038,-5.169879868830624,-3.4674025840743234,-4.460570957568932,-1.6834951574911794,-3.2552158533511673,-3.493018313478002,-4.127177468146419,-5.4028443750989865,-7.2331696706466415,-5.101018225348266,-4.117223805393113,-5.922106619160243,-3.1641741547148476,-5.132580018212331
Don't Start Now,-4.407318655701217,-3.634358807685984,-4.43942027134126,-1.8368304391017873,-0.0,-2.572392442193301,-4.096764178991982,-5.702677497151119,-3.7651726567493062,-5.412288897559573,-3.5443979990898944,-3.432200131367477,-3.4240677285568117,-4.247865155459792,-2.740935784643696,-4.917957083867635,-5.070078202811457,-2.247359940981779,-4.783896579489515,-5.004585090539076,-4.381469340866879,-1.8851056872041132,-1.8514997605009695,-2.7228027125078595,-10.150103749094527,-1.960041681682773,-5.056873264292123,-4.908547034955851,-2.9091834625621056,-3.2829651214611144,-3.038767308280266,-3.0372699996267016,-1.5818493931614124,-2.428165840153304,-2.9199480155281674,-1.8412561771624807,-5.03381497795313,-4.121281838740425,-3.9037762766448347,-1.9296548873082884,-2.5826956332083495,-4.397641623948964,-4.321415091024208,-5.21417061476463,-7.241202593794084,-5.023034749143369,-4.417407333709937,-6.299812325229975,-3.424303400168262,-4.478896949196015
ROCKSTAR (feat. Roddy Ricch),-4.96944724223895,-2.6913521715621536,-4.561950863021972,-3.1452094831745008,-2.572392442193301,-0.0,-4.247207018473001,-4.887864428395421,-2.954408199270521,-4.631269070808242,-3.5180285166269356,-3.2353310465411083,-4.091697229667797,-3.4621870035842033,-3.449568232834496,-4.053291076482496,-4.366161721516113,-2.745973637428926,-3.482837010387646,-4.732836634007861,-4.438792510329085,-2.6818326544350195,-2.118481746317088,-3.1749501608174424,-9.027797195050342,-2.5397403924389104,-3.8483398478065567,-4.433438725797366,-2.8681986766310725,-4.217610096144532,-2.9054351546577895,-3.507936995945987,-2.8240897378924963,-3.4103566117944886,-2.395770880552209,-3.284652473670155,-3.5224303487750013,-4.0222292616793816,-4.775587176348576,-3.251302956471699,-3.636122565598058,-4.420048929794206,-3.857546024680398,-5.229316730725885,-5.819514112962065,-3.6152626246838904,-4.798205536218786,-4.7251993031730715,-4.726346647634498,-5.2530265428563485
Watermelon Sugar,-3.7314876045582914,-4.1939123500735045,-5.182713836498061,-3.596884783628996,-4.096764178991982,-4.247207018473001,-0.0,-5.649715738531201,-5.222337885797174,-3.999651248881874,-3.677487604295486,-2.7836509799231415,-2.4888056951843,-3.3681974949073017,-4.970663167309635,-4.956025698894205,-3.7531946818364945,-4.678161272868485,-5.82949707929739,-5.554843772557693,-4.173998015576892,-2.977752609746051,-3.8043077274926014,-2.786145144355011,-10.319723784500216,-4.075552189153953,-5.9520311448589895,-5.5738666598375755,-4.154583059652859,-5.434413789731781,-4.460153253308058,-2.5765479267022093,-3.0746271965413894,-4.379952591810057,-3.7452938366807853,-2.9515705900086697,-4.543969576872872,-3.8499240071078282,-5.46451857874478,-4.033997601943929,-4.1728462503348505,-4.521296560019799,-3.4928239048483016,-4.899290241752902,-6.212070018651233,-4.021525760240621,-5.057987509963477,-4.886920157561183,-2.8259946363112105,-6.108044588472919
death bed (coffee for your head),-5.816600105028488,-4.1928509220886605,-3.7403807914686067,-5.159771757769442,-5.702677497151119,-4.887864428395421,-5.649715738531201,-0.0,-4.423650226865063,-4.803844153880221,-5.903976747302662,-3.7581066540615535,-5.921726072451483,-4.906066036102902,-4.9006072633015325,-5.932180230336923,-5.171687816819678,-5.617691172724055,-4.527772079241873,-5.8629791421923425,-4.304011309839682,-5.876416867338682,-4.8353879780096465,-5.3057553122853705,-8.677212328010492,-5.2064839680715975,-4.768141426984442,-5.580234990309302,-5.022866897845478,-5.27221973039353,-4.011360737894671,-4.781544307503162,-5.778352843028374,-5.284566788612581,-4.159858665136845,-5.275222785601142,-5.032087113079605,-5.713608634372641,-5.945240891374449,-5.772874378567936,-5.5988071985743915,-4.28459781470678,-4.421474755165871,-7.548535147733727,-5.267880969253365,-4.592903632220429,-3.8614696906838257,-5.471924935283032,-6.366761082631362,-6.767245707988923
Falling,-4.590065058006838,-3.765692518905994,-4.874104717800547,-4.136405938200606,-3.7651726567493062,-2.954408199270521,-5.222337885797174,-4.423650226865063,-0.0,-4.5424085087686565,-4.944952153530946,-3.5722229253526634,-4.781762915877077,-3.147941785012169,-3.7538992250790497,-5.204331108545662,-4.560726834387225,-4.431572049227777,-3.720269135919326,-5.421970139710795,-3.9890980151010216,-4.079423968735395,-3.524983068884849,-4.390658277162623,-8.639969600533348,-2.990195860743253,-4.077363298633008,-4.196762542864848,-2.9204559091092928,-5.222636450683467,-2.660903683674627,-4.391870984148206,-4.145462637904075,-4.2240931973577815,-3.2071060807591443,-4.3968402527656565,-2.9040857793712402,-4.87174006819704,-5.255425593283037,-4.353669729965701,-4.1626043990585035,-5.30908176364191,-2.979198120236168,-6.9869664300695264,-5.248915484892353,-4.555663580549988,-4.096656505362275,-5.569385933282811,-5.303888633643892,-5.899964520271446
Someone You Loved,-4.383729101182649,-3.4552138867636915,-6.352889349203463,-5.174176098298794,-5.412288897559573,-4.631269070808242,-3.999651248881874,-4.803844153880221,-4.5424085087686565,-0.0,-4.515199656728875,-4.127179925289875,-3.8472033450809304,-3.44428723699228,-4.686397160332438,-4.806114804106916,-2.148694651163353,-5.1063580784098646,-3.7167220385845736,-5.840772525201857,-4.022888715266824,-4.568730467641272,-4.629428216221433,-4.423856007660634,-8.65731938782542,-4.416764972616653,-5.022341364900542,-5.536557045173798,-4.235543593057552,-6.300904279580673,-3.573970418727765,-4.250530963621132,-4.693687230110461,-4.703711348856783,-5.089707694348707,-5.1422161303334954,-4.183168493762068,-3.483820762383411,-5.911862071039965,-5.232589061695636,-5.119094310008397,-6.225476550024334,-3.167748282110438,-6.226292234721984,-3.0677923814269086,-3.849054738168417,-4.54203904673057,-2.788402046773526,-4.749392370574123,-6.722132099172798
